2018-10-07 21:46,xcwjb01,南充,4.5,非常好看，不过那天出了点意外
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 21:10,一天用来希望,昆明,3.5,特效大于剧情
2018-10-07 21:10,佳惘惘,娄底,0,没有看上。迟到了 票不能退
2018-10-07 20:56,SGf631335914,南昌,3,看完以后毫无感觉
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 21:10,佳惘惘,娄底,0,没有看上。迟到了 票不能退
2018-10-07 20:56,SGf631335914,南昌,3,看完以后毫无感觉
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 20:56,SGf631335914,南昌,3,看完以后毫无感觉
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 20:47,茅？毛,南通,4,狄仁杰就是狄仁杰。
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 20:40,sfp253841401,福州,4,好看的电影……
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 20:34,YTC13993576566,金昌,3.5,壳子啊错了不了
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 20:29,_qq6h81408764803,临汾,4,忘了为什么没有看了。。。
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 20:11,YTl920948231,包头,4,还不错还不错
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:57,天行键369,武汉,3.5,做为一部爆米花电影还是可以的
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:52,曹晗晖,万州,4,感觉还行！能让人坐下来观赏！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:43,我是小白和猫猫,大连,3.5,还算可以吧，剧情比较可以
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:42,微微云翳,沂南,4.5,这一部异域风情很浓重啊😄
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 19:42,YAj287505723,长沙,4,林更新很有趣啊哈哈哈啊哈哈
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 19:41,故事你在听馬,滨州,2.5,没看头。。。
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 19:36,yFr198441423,南阳,0,一般，一般，一般！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 19:33,四哥1234567,呼伦贝尔,5,徐克导演的电影很棒的
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 19:32,dgw545175140,青岛,5,好看，值得一看
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 19:29,cJq712830831,桐庐,4.5,好看好看好看
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 19:29,陈冬man,温州,5,可以 蒙看看
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 19:19,雨滴落在了南极。,台州,5,很不错的一部
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 19:18,江南艳遇,辽阳,2.5,这是我看睡着的一部电影，非常一般！
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 19:15,DiU978639932,韶关,3,还可以去看看
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
2018-10-07 18:10,搞摇老李,广州,5,特效满分！！！！！！
2018-10-07 17:57,徐小久,毕节,4,还行，把动作片导成魔幻片
2018-10-07 17:54,杰微冷,合肥,3,失望，很失望
2018-10-07 17:49,PmY444102125,上海,5,狄仁杰太帅了
2018-10-07 17:44,sbt921853468,西安,3.5,场面很震撼。
2018-10-07 17:40,fEA876175636,沈阳,4.5,没咋看明白，智商的问题
2018-10-07 17:27,KKQ471113638,襄阳,4,国产片子来说，算拍的不错的
2018-10-07 17:09,西亚月亮,北京,3,系列电影几部片子水准保持一致。
2018-10-07 19:10,XIATIANPINGFAN,呼和浩特,5,片子很好看，特效很好
2018-10-07 19:09,南山西西里,海口,4,国产片中的精品！
2018-10-07 19:09,小冬,海口,5,视觉效果不错
2018-10-07 19:00,罗锦颢,宜宾,3,就是特效太多太烦
2018-10-07 18:11,StN295525896,张家港,5,非常好看  很完美
2018-10-07 18:11,lVc114069820,厦门,3.5,怎么说呢，全片也就那样，笑点不多
